"name","neighbourhood_group","neighbourhood","room_type","price"
"Private Bedroom in Greenpoint!","Brooklyn","Greenpoint","Private room",40
"Beautiful classic NYC studio","Manhattan","Upper East Side","Entire home/apt",120
"Cozy GetAway In Broadway 443","Manhattan","Midtown","Private room",134
"Studio in NYC (Times Square)","Manhattan","Hell's Kitchen","Entire home/apt",100
"Cozy Attic Studio with Century-Old Charm","Brooklyn","South Slope","Entire home/apt",75
"Cosy room with private bathroom-NYC","Manhattan","Upper East Side","Private room",140
"Bookish apt near City College, Columbia University","Manhattan","Harlem","Entire home/apt",250
"La Sienna Beautiful Prewar Brownstone Studio","Manhattan","Harlem","Entire home/apt",133
"One Bedroom in Chic Downtown Location, Great Amenities","Manhattan","Midtown","Entire home/apt",295
"Midtown West Hotel - Hudson Twin Single","Manhattan","Chelsea","Private room",178
"Central Park is Steps Away","Manhattan","Upper West Side","Entire home/apt",175
"Sunlit 1 bedroom apt: Williamsburg, Brooklyn","Brooklyn","Williamsburg","Entire home/apt",120
"Perfect Brooklyn Oasis","Brooklyn","Cypress Hills","Entire home/apt",171
"Cozy bedroom in Little Italy","Manhattan","Chinatown","Private room",150
"Queen studio Suite","Manhattan","Harlem","Entire home/apt",129
"City Retrieve3. Twin bed, lovely, simple","Manhattan","Harlem","Private room",42
"BEAUTIFUL SUNNY ROOM!","Brooklyn","Bushwick","Private room",25
"Beautiful bed bed room","Queens","South Ozone Park","Private room",53
"Dreamy Luxury Penthouse w/ Terrace","Manhattan","Chelsea","Entire home/apt",350
"Spectacular Views 2 Beds 2Baths by Columbus Circle","Manhattan","Midtown","Entire home/apt",325
"Private room in Astoria","Queens","Long Island City","Entire home/apt",100
"Your access to New York","Queens","Bayswater","Private room",45
"Cozy Bedstuy Brownstone","Brooklyn","Bedford-Stuyvesant","Entire home/apt",432
"Efficient W. Chelsea Studio! Ask for shorter stay!","Manhattan","Chelsea","Entire home/apt",88
"Prime Upper East Side Studio Close to Central Park","Manhattan","Upper East Side","Entire home/apt",113
"Heavily Discounted 3-bedroom NYC Apartment","Manhattan","East Village","Private room",25
"Beautiful Private Studio w/ backyard for 2 guests","Queens","Jamaica","Entire home/apt",110
"Sonder at Battery Park | Downtown 1BR | Discounted Rates","Manhattan","Financial District","Entire home/apt",414
"Cozy apartment","Brooklyn","Borough Park","Shared room",50
"3BR Apartment & 4 bathrooms with a backyard","Brooklyn","Bedford-Stuyvesant","Entire home/apt",157
"Entire Private Modern Studio UWS Manhattan","Manhattan","Upper West Side","Entire home/apt",99
"Best location In Williamsburg!!!!!","Brooklyn","Williamsburg","Entire home/apt",86
"Pristine Studio in the East Village with Cool Art","Manhattan","East Village","Entire home/apt",125
"2 bedroom apt on Upper East Side","Manhattan","Upper East Side","Entire home/apt",100
"private room in Great location in Hells kitchen","Manhattan","Upper West Side","Private room",80
"NYC Hideaway Urban Suite","Bronx","Pelham Bay","Entire home/apt",195
"Private, Comfortable and Big Room89","Queens","Jackson Heights","Private room",90
"NEW Stylish + Clean Basement Studio Suite - BKLYN!","Brooklyn","East Flatbush","Entire home/apt",68
"Bushwick Luxury Room with Private Bath","Brooklyn","Bushwick","Private room",40
"Beautiful Apartment -Available Sept/Oct","Brooklyn","Clinton Hill","Entire home/apt",100
"Modern apartment in luxury building on the UES","Manhattan","Upper East Side","Entire home/apt",100
"Live like Brooklyn local w/ comfort & style.","Brooklyn","Bedford-Stuyvesant","Entire home/apt",146
"Delightful studio apartment.","Staten Island","Castleton Corners","Entire home/apt",69
"Spacious Sunny Office & Suite on a Private Floor","Bronx","Port Morris","Entire home/apt",85
"Living Art Gallery Room in New Bushwick Building","Brooklyn","Bushwick","Private room",50
"Midtown New York 1BR Condo","Manhattan","Midtown","Entire home/apt",349
"Home away from Home ,Neat and clean 5 minutes JFK","Queens","South Ozone Park","Entire home/apt",99
"NYC Empire State/Madison Square Garden 3 Bed Apt","Manhattan","Kips Bay","Entire home/apt",225
"Airy and bright artist’s loft space in Fort Greene","Brooklyn","Fort Greene","Entire home/apt",157
"Cosy studio in a town house","Manhattan","Gramercy","Entire home/apt",85
"Master bedroom in historic house","Manhattan","Tribeca","Private room",133
"Spacious, luminous, furnished Bushwick room","Brooklyn","Bushwick","Entire home/apt",51
"Cobble Hill Brooklyn....SUPER PRIME 1BR - full apt","Brooklyn","Cobble Hill","Entire home/apt",275
"Urban Living in Prospect Lefferts Gardens","Brooklyn","Prospect-Lefferts Gardens","Private room",34
"La Casa in Brooklyn: Stylish Apt. with Patio","Brooklyn","Crown Heights","Entire home/apt",130
"( GREEN ROOM) Private in a Beautiful Town House","Brooklyn","Bedford-Stuyvesant","Private room",67
"2-Story Apt! Free Parking! Very close to LGA!","Queens","East Elmhurst","Entire home/apt",135
"Lovely Private Bedroom in Vibrant Bronx, NY","Bronx","Soundview","Private room",59
"Clean and bright apartment in Harlem, 2 BR","Manhattan","Harlem","Entire home/apt",130
"Cozy Room In Williamsburg Near Trains❤️","Brooklyn","Williamsburg","Private room",44
