"name","neighbourhood_group","neighbourhood","room_type","price"
"Space available for female only","Queens","Woodside","Shared room",40
"Renovated Studio near Soho","Manhattan","Little Italy","Entire home/apt",95
"Clean and Simple 1-Bedroom, Steps from University","Manhattan","Morningside Heights","Entire home/apt",120
"Beautiful Private Room Near Hudson River","Manhattan","Hell's Kitchen","Private room",80
"Apartment with terrasse greenpoint brooklyn","Brooklyn","Greenpoint","Entire home/apt",80
"Living With the Locals","Manhattan","Harlem","Private room",88
"Great Space..  Central Park Area!","Manhattan","East Harlem","Private room",74
"Luxe UES 1BR w/ Doorman, Elevator, Gym, Coworking Spaces, by Blueground","Manhattan","Upper East Side","Entire home/apt",392
"NOVEMBER AMAZING SPECIAL GRAMMERCY MANHATTAN","Manhattan","Gramercy","Entire home/apt",165
"Lovely 1 Bedroom with balcony near Central Park","Manhattan","Upper West Side","Private room",103
"Stunning 1br in Historic Brownstone","Manhattan","Upper West Side","Entire home/apt",75
"1 Bdrm New York Penthouse in Luxury CondoHotel","Manhattan","Midtown","Entire home/apt",479
"Private top-floor in owner occupied  Brownstone","Brooklyn","Park Slope","Entire home/apt",295
"Cozy private room 15 mins to Soho","Brooklyn","Brooklyn Heights","Private room",119
"Flatiron District, Need I say more.","Manhattan","Flatiron District","Private room",95
"Large 1br in central Nolita / SoHo","Manhattan","Nolita","Entire home/apt",200
"Big and sunny room in Greenpoint","Brooklyn","Greenpoint","Private room",70
"Vanderbilt Property I","Brooklyn","Fort Greene","Entire home/apt",185
"Steps to LGA, near CitiField, JFK,Manhattan (RM#1)","Queens","East Elmhurst","Private room",65
"NYC spacious 2 Bed, 2 Bath With Indoor Parking","Queens","Flushing","Entire home/apt",254
"New Private Cozy Condo with private bedroom & bath","Bronx","Kingsbridge","Private room",45
"WOMEN ONLY - Private Room in Harlem Apartment! (B)","Manhattan","Harlem","Private room",60
"Cozy Craftsman Cottage -5 mins from Rockaway Beach","Queens","Far Rockaway","Entire home/apt",650
"Bright modern loft in Crown Heights brownstone","Brooklyn","Crown Heights","Entire home/apt",149
"Lovely Brooklyn Brownstone  one block from Subway","Brooklyn","Carroll Gardens","Entire home/apt",450
"ALL Brand NEW~ Prime Location~ STUDIO ~W&D in unit","Manhattan","Upper East Side","Entire home/apt",199
"Quiet and modern Williamsburg garden 1BR","Brooklyn","Williamsburg","Entire home/apt",180
"Clean Room right by Columbus Circle / Central Park","Manhattan","Hell's Kitchen","Private room",90
"Nice Room in Old American Style House, Near Subway","Queens","Woodhaven","Private room",75
"Lovely One Bedroom West Village","Manhattan","Greenwich Village","Entire home/apt",115
"19min to Manhattan & Safe Neighborhood&PrivateRoom","Queens","Sunnyside","Private room",35
"3B Sunset Park Private Room & Bathroom","Brooklyn","Sunset Park","Private room",63
"Deluxe Brooklyn Loft","Brooklyn","Greenpoint","Entire home/apt",268
"3BR w PRIVATE 600 SQFT ROOFTOP IN BROOKLYN","Brooklyn","Bushwick","Entire home/apt",425
"Spacious 1-Bedrm Apt Washington Heights Manhattan","Manhattan","Washington Heights","Entire home/apt",119
"Room fit for a King","Queens","Flushing","Private room",85
"Sunny Park Slope Studio Brownstone","Brooklyn","Park Slope","Entire home/apt",90
"Great room with awesome amenities!","Brooklyn","Bedford-Stuyvesant","Private room",30
"Modern, Large & Cozy 1 BR NYC Apt","Manhattan","Midtown","Entire home/apt",250
"Stylish & Spacious Private Room + Bath in Bed-Stuy","Brooklyn","Bedford-Stuyvesant","Private room",90
"Colorful Brooklyn Garden Casita","Brooklyn","Windsor Terrace","Entire home/apt",140
"Cozy Studio in the Heart of Soho","Manhattan","NoHo","Entire home/apt",215
"Bushwick Room w/Private Bath in Vintage Loft","Brooklyn","Bushwick","Private room",89
"Awesome Midtown NYC Apartment Close to Everything","Manhattan","Hell's Kitchen","Entire home/apt",89
"Upper Den","Brooklyn","Bedford-Stuyvesant","Private room",34
"Beautiful Apartment in Midtown Manhattan","Manhattan","Hell's Kitchen","Entire home/apt",160
"1BR on Hudson Yards. near Time Square.","Manhattan","Hell's Kitchen","Entire home/apt",300
"Dominique's  Cosy NYC crashpad* metro* Bronx Zoo*","Bronx","Eastchester","Entire home/apt",202
"The Beautiful Manhattan Club","Manhattan","Midtown","Private room",200
"Lovely 2 Bedroom Apartment 2 blocks from the Beach","Queens","Far Rockaway","Entire home/apt",199
"Private Bedroom & Bath in Luxury 2 Bedroom Condo","Manhattan","Financial District","Private room",300
"Treehouse Brooklyn Loft","Brooklyn","Bedford-Stuyvesant","Private room",44
"A serene apartment to rejuvenate yourself.","Brooklyn","Greenpoint","Entire home/apt",101
"Best views of Manhattan!","Manhattan","Battery Park City","Entire home/apt",200
"Bensonhurst Gem","Brooklyn","Bensonhurst","Entire home/apt",51
"Contemporary & Classic Sanctuary on the Hudson","Manhattan","Upper West Side","Entire home/apt",201
"Island of peace and relaxing","Brooklyn","Gravesend","Private room",53
"Small cozy studio WashingtonHeights","Manhattan","Washington Heights","Entire home/apt",70
"Modern 1 BD near Prospect Park","Brooklyn","Crown Heights","Entire home/apt",112
"Stunning and luxurious 1 Bedroom Apt in Brooklyn!","Brooklyn","Fort Greene","Entire home/apt",80
"The Paul Hotel Luxury with 2 Queen Beds","Manhattan","Midtown","Private room",197
"Private Comfortable Room (hourly Rate) Dyckman","Manhattan","Inwood","Private room",40
"Sunny Garden Apt in Historic Park Slope Brownstone","Brooklyn","Park Slope","Entire home/apt",190
"Zen & Cozy 2 Bedroom in Williamsburg","Brooklyn","Williamsburg","Entire home/apt",187
"BED-STUY- the most Beautiful brown stone block!","Brooklyn","Bedford-Stuyvesant","Entire home/apt",229
"1 spacious room close to all public transit","Brooklyn","Williamsburg","Private room",43
"","Manhattan","Hell's Kitchen","Entire home/apt",190
"Surfers Paradise Cozy & Stylish!","Queens","Arverne","Private room",353
"Most walkable location for fun","Manhattan","Greenwich Village","Private room",100
"Modern One Bedroom in Luxury Chelsea Building","Manhattan","Chelsea","Entire home/apt",308
"21min to Manhattan & Safe Neighborhood&PrivateRoom","Queens","Sunnyside","Private room",36
"Cozy Studio ⭐ Premium Location in the Village!","Manhattan","Greenwich Village","Entire home/apt",249
"Brooklyn's finest","Brooklyn","Canarsie","Private room",56
"Beautiful Williamsburg Condo with Private Roof","Brooklyn","Williamsburg","Entire home/apt",314
"private badroom❤2 min to LAG&CITY Filed Flushing","Queens","East Elmhurst","Private room",89
"Sunny Apartment Close to NYC's Major Attractions","Bronx","Mott Haven","Entire home/apt",102
"Alcove Studio in Heart of Chelsea!","Manhattan","Chelsea","Entire home/apt",100
"LES private bedroom in safe apartment building","Manhattan","Lower East Side","Private room",70
"Hotel Room King Bed Chelsea","Manhattan","Chelsea","Private room",413
"Modern Brick Exposed Brooklyn Apartment!","Brooklyn","Crown Heights","Entire home/apt",150
"Studio Apartment in Upper East side","Manhattan","Upper East Side","Entire home/apt",100
"Cozy room with lots of light.","Bronx","Van Nest","Private room",28
"Comfortable bedroom with private bathroom","Brooklyn","Bushwick","Private room",52
"Cozy East Village Haven","Manhattan","East Village","Entire home/apt",100
"Huge Master Bed & bath rooms-Cozy bed & mattress","Queens","Jamaica","Private room",60
"Room in Hamilton Heights Apr 20-May 20 (flexible)","Manhattan","Harlem","Private room",45
"Private Room near Central Park","Manhattan","Upper West Side","Private room",60
"Well-kept apartment home | 1BR in New York","Manhattan","Murray Hill","Entire home/apt",262
"Room in a beautiful apartment","Queens","Long Island City","Private room",150
"beautiful apt in the middle of williamsburg","Brooklyn","Williamsburg","Entire home/apt",110
"Nature & The City","Manhattan","Inwood","Entire home/apt",45
"Modern  Condo w/Luxury Amenities by McCarren Park","Brooklyn","Williamsburg","Entire home/apt",125
"PRIME location 2min to train 20min Manhattan","Queens","Woodside","Private room",33
"New Renovated Bedroom in Prime Manhattan Location","Manhattan","Midtown","Private room",39
"Beautiful room in boutique house (Brooklyn)","Brooklyn","Crown Heights","Private room",90
"Prime Location, Close to Everything","Brooklyn","Park Slope","Private room",110
"Cozy two bedroom in L.E.S.","Manhattan","Lower East Side","Entire home/apt",220
"Bedroom in Beautiful Brooklyn Loft","Brooklyn","Crown Heights","Private room",58
"10min Walk & 15mins to Tourist Spot","Queens","Jackson Heights","Private room",111
"YOUR OWN PLACE WITH VIEWS OF CENTRAL PARK","Manhattan","Midtown","Entire home/apt",119
"Women only -Peaceful & cozy room - 37th street!","Manhattan","Hell's Kitchen","Private room",98
"Private room in Prospect Leffert Gardens Gem","Brooklyn","Prospect-Lefferts Gardens","Private room",61
"2 Bdrm Central Park-Convenient, Clean, Near Metro","Manhattan","Upper West Side","Entire home/apt",345
"Private room near 7 train airports Citi field","Queens","Corona","Private room",55
"Bright, Luxury Executive Studio","Manhattan","Hell's Kitchen","Entire home/apt",75
"Crescent Garden Room_1","Brooklyn","East New York","Private room",65
"Inexpensive Private Room with NYC / SIUH/ Ka02/02","Staten Island","Concord","Private room",37
"Comfortable private modern room in dyckman","Manhattan","Inwood","Private room",150
"The Lex  Executive","Manhattan","Kips Bay","Entire home/apt",99
"Brooklyn Bi level 2bdrm 2bth w/yard, washer/dryer","Brooklyn","East New York","Entire home/apt",199
"Confortable studio","Queens","Corona","Entire home/apt",110
"Art deco/ antique  furnished apartment","Brooklyn","Sheepshead Bay","Entire home/apt",135
"ร","Queens","Elmhurst","Private room",40
"Woody's Smaller Bedroom","Brooklyn","Bedford-Stuyvesant","Private room",60
"Beautiful Queens Brownstone! - 5BR","Queens","Ridgewood","Entire home/apt",395
"Cozy, Clean Room in Quintessential Brooklyn","Brooklyn","Clinton Hill","Private room",60
"Colorful Room #2","Brooklyn","Bedford-Stuyvesant","Private room",53
"Spacious Duplex w/ Additional Loft.","Brooklyn","Bushwick","Entire home/apt",200
"4min walk from M/R Line : 2020 Spring Renovated","Queens","Astoria","Private room",46
"Studio Apartment in Midtown","Manhattan","Hell's Kitchen","Entire home/apt",135
"Cozy, clean Greenpoint room with yard access","Brooklyn","Greenpoint","Private room",58
"Cozy bedroom close to JFK and subway","Queens","Ozone Park","Private room",39
"Centrally located modern Brooklyn penthouse","Brooklyn","Carroll Gardens","Entire home/apt",225
"Brownstone Brooklyn at it's best","Brooklyn","Bedford-Stuyvesant","Entire home/apt",169
"Beautiful Bedroom By the Children's Museum","Brooklyn","Crown Heights","Private room",58
"Hidden Gem in Astoria, 1 MINUTE away to subway","Queens","Ditmars Steinway","Private room",52
"Private Apartment / Shared Bathroom 526","Manhattan","Midtown","Private room",65
"Unfurnished Full Room in Upper East Side Apartment","Manhattan","Upper East Side","Private room",75
"Location","Brooklyn","Crown Heights","Private room",35
"Beautiful brownstone charming Park Slope","Brooklyn","Park Slope","Private room",85
"MARTIAL LOFT 3: REDEMPTION (downstairs, 3rd room)","Brooklyn","Bushwick","Private room",48
"Harlem Treasure","Manhattan","Harlem","Entire home/apt",117
"Convenient room in Hell’s Kitchen","Manhattan","Hell's Kitchen","Private room",94
"GRAND CENTRAL MIDTOWN CLEAN ONE-BEDROOM APARTMENT","Manhattan","Murray Hill","Entire home/apt",100
"Perfect Vacation Rental for Family","Brooklyn","Bedford-Stuyvesant","Private room",114
"Trendy Apt in Historic Brooklyn Heights","Brooklyn","Brooklyn Heights","Entire home/apt",159
"Entire 2 bdrm Apt in Soho with Private Roof Deck","Manhattan","Nolita","Entire home/apt",200
"Room next to Columbia University","Manhattan","Morningside Heights","Private room",75
"Home away from home lodging #2 with 2 Bed- 2 guest","Brooklyn","East Flatbush","Private room",48
"*Boogie Down Private and comfortable stay*","Bronx","Wakefield","Private room",92
"Great room! Good for med students!","Bronx","Norwood","Private room",70
"Brooklyn Cozy and Convenient","Brooklyn","Crown Heights","Private room",50
"1BR in a 3BR Apt by Columbia","Manhattan","Upper West Side","Private room",50
"Quiet Williamsburg apartment","Brooklyn","Williamsburg","Entire home/apt",125
"Olive Room & Lounge","Manhattan","Upper West Side","Private room",94
"JFK/QNS Home Away From Home Full private apartment","Queens","Jamaica","Entire home/apt",814
"Royalton Hotel - Deluxe Room in Midtown Manhattan","Manhattan","Theater District","Hotel room",330
"Luxury Studio Apt 20mins from Manhattan!","Queens","Forest Hills","Entire home/apt",93
"Designer apt. in Williamsburg, NYC","Brooklyn","Greenpoint","Entire home/apt",100
"Park View Paradise in Inwood, Upper Manhattan","Manhattan","Inwood","Entire home/apt",144
"Apartment in downtown area","Brooklyn","Boerum Hill","Entire home/apt",120
"heaven on the hudson. .","Manhattan","Battery Park City","Private room",100
"New Private Room in Brooklyn Ready for YOU!","Brooklyn","Prospect-Lefferts Gardens","Private room",65
"Williamsburg Waterfront Apartment","Brooklyn","Williamsburg","Entire home/apt",150
"Spaceful 1 BR apartment","Manhattan","Upper West Side","Entire home/apt",125
"Manhattan Studio Apt Queen bed & Sofabed loveseat","Manhattan","Harlem","Entire home/apt",99
"Lovely 1BR in Murray Hill, Rooftop + Gym","Manhattan","Murray Hill","Entire home/apt",178
"Forest Hills","Queens","Forest Hills","Entire home/apt",175
"B crownheights queen size bed$100","Brooklyn","Crown Heights","Private room",106
"The Cozy Place","Bronx","Pelham Bay","Entire home/apt",98
"Newly Renovated Home! Close to JFK Airport!","Queens","Cambria Heights","Entire home/apt",213
"Bright Meatpacking/West Village/Chelsea 1-Bed Apt","Manhattan","West Village","Entire home/apt",243
"The Rich Home:minutes to JFK & 30min to the City","Queens","St. Albans","Entire home/apt",132
"Private Room in peaceful town","Queens","Sunnyside","Private room",55
"Gorgeous Bedroom in Manhattan Midtown West","Manhattan","Hell's Kitchen","Private room",36
"24/7 Onsite Team, In suite Washer & Dryer","Manhattan","Midtown","Entire home/apt",475
"Private room in sunny apt.","Brooklyn","Williamsburg","Private room",100
"2 bedroom 1 bath Bushwick Brooklyn New York","Brooklyn","Bushwick","Entire home/apt",135
"Futon to crash on New Year in NY","Queens","Hollis","Shared room",16
"One of a Kind luxurious midtown apt","Manhattan","Midtown","Entire home/apt",1250
"Small, Clean and Quiet 1 Bedroom","Manhattan","Chinatown","Entire home/apt",100
"Orchard Full","Manhattan","Lower East Side","Hotel room",999
"Modern, comfy studio apartment","Queens","Queens Village","Entire home/apt",106
"Beautiful Oversized King Bedroom - Entire Apt","Manhattan","Upper West Side","Entire home/apt",175
"New Clean Private Room In Flushing","Queens","Flushing","Private room",58
"Large williamsburg apt. Sleeps 4.","Brooklyn","Williamsburg","Entire home/apt",195
"Comfortable Private Room in Upper Manhattan 2BR","Manhattan","East Harlem","Private room",66
"#506 Furnished studio in the heart of Manhattan!","Manhattan","Gramercy","Entire home/apt",75
"Cómoda Habitación para parejas en Manhattan","Manhattan","Inwood","Private room",90
"Comfortable,spacious and luxurious homely settings","Brooklyn","East New York","Entire home/apt",185
"Beautiful newly furnished 1BR APT~ In unit laundry","Manhattan","Hell's Kitchen","Entire home/apt",154
"Not available","Queens","Long Island City","Shared room",90
"Private ROOM in Ridgewood","Queens","Glendale","Private room",140
"Sunny 2-bedroom Brooklyn Apt with Rooftop Views","Brooklyn","Carroll Gardens","Entire home/apt",175
"LARGE FULL FLOOR 3BDR/2BTH NEAR CENTRAL PARK & SUB","Manhattan","Upper East Side","Entire home/apt",200
"Beautiful room in Manhattan","Manhattan","Harlem","Private room",50
"The Clean Comfortable Modern Lounge","Queens","Cambria Heights","Entire home/apt",79
"Sun-filled gorgeous corner L shaped studio","Brooklyn","Kensington","Entire home/apt",98
"Perfect Room… newly renovated with big screen TV","Brooklyn","Bedford-Stuyvesant","Private room",69
"Sunny Prospect Park One Bedroom Apartment","Brooklyn","Windsor Terrace","Entire home/apt",78
"SUNNY 2BD W. ELEVATOR / PERFECT 4 SMALL FAMILY","Manhattan","Lower East Side","Entire home/apt",151
"Entire Large 2 Bedroom - Crown Heights","Brooklyn","Crown Heights","Entire home/apt",60
"Sunny 2 full bedroom apartment :)","Brooklyn","Williamsburg","Entire home/apt",160
"The Calm Stay- Comfy and Clean Getaway Room","Manhattan","Washington Heights","Private room",37
"JFK Private Bedroom/Bathroom Room #2","Queens","Jamaica","Private room",99
"Brooklyn Cute Room + Private Bath!","Brooklyn","Clinton Hill","Private room",70
"Bright & Clean - 15 minutes from Manhattan","Queens","Long Island City","Private room",37
"Cozy neighborhood Subway M/R<2min> & 7 Line<5min>","Queens","Woodside","Private room",37
"Beautiful NYC studio","Manhattan","Murray Hill","Entire home/apt",125
"Private Sun Filled Herbal Room in BK Loft","Brooklyn","Crown Heights","Private room",40
"Luxury 2 bedroom apt in Crown Heights","Brooklyn","Crown Heights","Entire home/apt",245
"Heart of West Village cozy apt","Manhattan","West Village","Entire home/apt",250
"Large room in NYC - 2 months","Manhattan","Inwood","Private room",50
"Chic & Charming Renovated West Village studio","Manhattan","Greenwich Village","Entire home/apt",160
"Beautiful One Bedroom Apt, Luxury building","Manhattan","Battery Park City","Private room",116
"Magical Brooklyn Brownstone","Brooklyn","Clinton Hill","Entire home/apt",400
"Quiet room+bath w/ separate entry.","Brooklyn","Bedford-Stuyvesant","Private room",79
"Columbus Circle 2br","Manhattan","Hell's Kitchen","Entire home/apt",150
"Stunning and Cozy Room in Brooklyn","Brooklyn","Sunset Park","Private room",80
"MedRoom 444-5","Brooklyn","Bedford-Stuyvesant","Private room",65
"Gild Hall, Luxury King Room and Complimentary WiFi","Manhattan","Financial District","Private room",199
"Privet room.10min from CentralPark.5 min to Times","Manhattan","Hell's Kitchen","Private room",80
"Bond Street 2 bedroom 2 bath great Noho location","Manhattan","NoHo","Entire home/apt",450
"Beautiful  Meat Packing /Greenwich 2 bedroom","Manhattan","Chelsea","Entire home/apt",285
"Newly renovated 1 bedroom steps from Times Square","Manhattan","Hell's Kitchen","Entire home/apt",221
"Large Room two min walk to Express A-Train w/WiFi","Brooklyn","Bedford-Stuyvesant","Private room",58
"Top Floor 1Br penthouse with large Patio ,Ac ,direct access to Amazing Roof 


Laundry in building 

8 mints from A C trains, 11 mints from J train","Brooklyn","Bedford-Stuyvesant","Entire home/apt",105
"Very comfortable Apt in Manhattan","Manhattan","Washington Heights","Private room",91
"West Village Apartment","Manhattan","West Village","Entire home/apt",180
"Room in Duplex Apartment (Loft Bed)","Brooklyn","Cobble Hill","Private room",60
"2BR Lux Condo Rooms.Washer-Dryer WiFi balcony","Queens","Woodside","Entire home/apt",169
"Prolonged Traveler's Dream (a month first & more)","Bronx","Hunts Point","Private room",50
"Executive Queen or King Room - NYC Manhattan","Manhattan","Midtown","Private room",85
"Room in My Apt. Rego Park Queens NY","Queens","Rego Park","Private room",30
"Artistic Union sq duplex + private roof top NYC.","Manhattan","Chelsea","Entire home/apt",100
"Large Furnished room in New two bedroom apt.","Manhattan","Chinatown","Private room",93
"Cozy, warm and Clean Stay in Flushing!","Queens","Flushing","Private room",65
"UWS Apartment, near Columbia University","Manhattan","Morningside Heights","Entire home/apt",70
"Quiet BR with private bath in duplex w/ backyard","Manhattan","East Village","Private room",126
"Cozy Nook in Trendy Lower East Side","Manhattan","Lower East Side","Entire home/apt",228
"Brand new spacious room New York City Manhattan","Manhattan","Harlem","Private room",81
"Washington Heights- Comfy Home","Manhattan","Washington Heights","Private room",60
"Bed-Stuy Beauty","Brooklyn","Bedford-Stuyvesant","Entire home/apt",130
"Bright & Maximalist Artist Flat","Queens","Ridgewood","Entire home/apt",135
"Cute & Cozy Cobble Hill Apt","Brooklyn","Columbia St","Entire home/apt",126
"Spacious Upper West Side Studio","Manhattan","Morningside Heights","Entire home/apt",96
"5 min walk to Queens Great Transportation Hub","Queens","Woodside","Private room",42
"Lovely NEW 3BR Greenpoint apartment","Brooklyn","Greenpoint","Entire home/apt",184
"Sunny apartment w/ astonishing views (2 weeks min)","Manhattan","Harlem","Entire home/apt",90
"Beautiful Private Artist's Bungalow","Brooklyn","Crown Heights","Entire home/apt",71
"PERFECT STUDIO FOR TWO- EAST 60TH STREET","Manhattan","Upper East Side","Entire home/apt",115
"Cozy  space apartment & confortable in Brooklyn","Brooklyn","Williamsburg","Entire home/apt",310
"Amazing bedroom in South Harlem !","Manhattan","Harlem","Private room",80
"Prime Williamsburg Apartment","Brooklyn","Williamsburg","Entire home/apt",250
"Prime Location! Hip Cozy Bushwick 2 Bed/1 Bath Apt","Brooklyn","Bushwick","Entire home/apt",78
"Beautiful home in Red Hook","Brooklyn","Red Hook","Entire home/apt",115
"Sunny private bedroom in Bushwick, 20min to Mnhttn","Brooklyn","Bedford-Stuyvesant","Private room",66
"Unfurnished Twin Room in Sunset Park Apartment","Brooklyn","Sunset Park","Private room",60
"MIDTOWN EAST 1BR APARTMENT WITH BACKYARD","Manhattan","Midtown","Entire home/apt",245
"Bright single bedroom in duplex with backyard.","Brooklyn","Bushwick","Private room",39
"City hub","Queens","Ditmars Steinway","Entire home/apt",200
"Room in colorful Bushwick SUPER close to subways!","Brooklyn","Williamsburg","Private room",35
"Plum Guide Award-Winning Prospect Heights Oasis","Brooklyn","Prospect Heights","Entire home/apt",195
"Luxury Townhouse","Manhattan","East Harlem","Entire home/apt",264
"RV living for the nature lover in you.","Bronx","Baychester","Entire home/apt",69
"New York Home with a back yard in Central Harlem.","Manhattan","Harlem","Entire home/apt",295
"GREAT location LARGE 1BR $129 night","Manhattan","Upper East Side","Entire home/apt",129
"Lovely Room 1, Garden, Best Area, Legal rental","Brooklyn","South Slope","Private room",98
"Modern, Clean & Bright. 1 bed/1bath apt!","Manhattan","Two Bridges","Entire home/apt",120
"Small Homey Studio, big windows for natural light","Queens","Richmond Hill","Entire home/apt",54
"In the heart of the East Village","Manhattan","East Village","Shared room",60
"Studio sublet in Hell's kitchen","Manhattan","Theater District","Entire home/apt",200
"Charming, Cozy Fruit Street Gem","Brooklyn","Brooklyn Heights","Entire home/apt",150
"Sunny, spacious 1-bedroom in Upper Manhattan","Manhattan","Inwood","Entire home/apt",95
"Private Basement w/ Backyard","Bronx","North Riverdale","Private room",50
"1 bed Apt w/ bikes, gym, laundry, & rooftop","Brooklyn","Williamsburg","Entire home/apt",140
"Mid Manhattan ideal Studio","Manhattan","Murray Hill","Entire home/apt",105
"Twin beds|Bushwick:Mins from Manhattan|| SHARED!","Brooklyn","Bushwick","Shared room",45
"Spacious room in Historical District Brownstone","Brooklyn","Bedford-Stuyvesant","Private room",35
"Bridge 2 Paradise OASIS STUDIO W/Private-Backyard","Brooklyn","Bergen Beach","Entire home/apt",151
"Park Slope Hill House Retreat-20 min 2 Manhattan","Brooklyn","South Slope","Entire home/apt",125
"3-Bed Brownstone on Beautiful Block","Brooklyn","Crown Heights","Entire home/apt",350
"Ideal UES 1BR w/ Gym, Playroom, Roof Deck, nr. Hospital, by Blueground","Manhattan","Upper East Side","Entire home/apt",490
"Trendy Hell's Kitchen 2BR w/ Doorman, near Central Park, by Blueground","Manhattan","Hell's Kitchen","Entire home/apt",409
"Clean private room with full size bed","Brooklyn","Williamsburg","Private room",60
"Beautiful Loft/ BedStuy/Very Bright/ Very Spacious","Brooklyn","Bedford-Stuyvesant","Entire home/apt",150
"LARGE 4 BEDROOMS WITH BALCONY IN REGO PARK","Queens","Rego Park","Entire home/apt",368
"Room in Brooklyn house","Brooklyn","Gravesend","Private room",50
"Comfy Room in Amazing house! Great for Travelers","Brooklyn","Crown Heights","Private room",60
"The Sweet Suite","Queens","Springfield Gardens","Entire home/apt",133
"New Private Studio In Glendale Queens","Queens","Glendale","Entire home/apt",101
"Immaculate and Bright Apartment Downtown","Manhattan","Battery Park City","Entire home/apt",650
"Charming and cozy 2 BR in Financial District.","Manhattan","Financial District","Entire home/apt",192
"Two Bedroom Apartment Midtown West","Manhattan","Hell's Kitchen","Entire home/apt",150
"Cozy super private room in Brooklyn!","Brooklyn","Crown Heights","Private room",44
"Beautiful Prospect Park South room","Brooklyn","Flatbush","Private room",39
"Prime Location Affordable 2 Bedrooms","Manhattan","Midtown","Entire home/apt",152
"A++ Location! Huge 5BR/3BA Townhouse!","Manhattan","Midtown","Entire home/apt",697
"Bed-Stuy Artists Retreat","Brooklyn","Bedford-Stuyvesant","Private room",63
"Large studio in diverse community! Don't miss out!","Brooklyn","Bushwick","Entire home/apt",130
"Chelsea/Flatiron 1-Bedroom Apt in Luxury Building","Manhattan","Chelsea","Entire home/apt",189
"Small Room In Single Room Occupancy","Manhattan","Greenwich Village","Private room",105
"Cozy Bright Private Room - Prime Brooklyn","Brooklyn","Williamsburg","Private room",45
"Heart of Lower East Side","Manhattan","Lower East Side","Entire home/apt",120
"Sunny Newly Renovated Private Room - Bed-Stuy","Brooklyn","Bedford-Stuyvesant","Private room",68
"Spacy, sunny Brooklyn studio next to prospect park","Brooklyn","Prospect-Lefferts Gardens","Entire home/apt",83
"PRIVACY SUITE ROOM WITH PRIVATE BATHROOM","Brooklyn","Bedford-Stuyvesant","Private room",80
"Sunny, Spacious Apartment in Prime Williamsburg","Brooklyn","Williamsburg","Entire home/apt",110
"Long Term Stay on the East side -near central park","Manhattan","East Harlem","Private room",92
"Beautiful NYC townhouse","Queens","Middle Village","Entire home/apt",350
"Beautiful King Bed Hotel Room","Manhattan","Financial District","Private room",163
"Charming apt on UWS 8/3-8/7","Manhattan","Upper West Side","Entire home/apt",200
"Studio Apartment #2","Manhattan","Midtown","Entire home/apt",116
"Lovely 1 Bedroom in East Williamsburg","Brooklyn","Williamsburg","Entire home/apt",130
"Sunny Private Room Facing Beautiful Prospect Park","Brooklyn","Flatbush","Private room",45
"June 30 Th to August 31 st","Manhattan","SoHo","Entire home/apt",245
"Cozy cute eclectic downtown well lit Studio LES","Manhattan","Lower East Side","Entire home/apt",130
"Large room in elevator drman bldg","Manhattan","Harlem","Private room",68
"Amazing East Village XL ground floor Apartment!","Manhattan","East Village","Entire home/apt",126
"Master bedroom in E Harlem with balcony&Doorman","Manhattan","East Harlem","Private room",105
"Sunny studio in beautiful historic brownstone","Manhattan","East Village","Entire home/apt",250
"Lovely one bedroom apartment in the central of Manhattan walking distance to many attractions.  July 27 to July 30.","Manhattan","Midtown","Entire home/apt",244
"Lovely On Broadway A","Manhattan","Midtown","Entire home/apt",135
"Beautiful 1 bdrm in large,sunny apt W/D in unit","Brooklyn","Williamsburg","Entire home/apt",300
"EAST 39TH STREET FURNISHED STUDIO NEAR UN","Manhattan","Murray Hill","Entire home/apt",160
"Sunny/Cozy 1BD","Brooklyn","Crown Heights","Entire home/apt",72
"Cozy, classy,comfortable luxury private room","Brooklyn","Bushwick","Private room",75
"Sunlit and Plant filled Williamsburg Railroad Apt","Brooklyn","Williamsburg","Entire home/apt",145
"Charming new renovated private room","Manhattan","Lower East Side","Private room",65
"East Village Location to Experience Manhattan","Manhattan","East Village","Private room",99
"Sonder | Studio in NYC Financial District | Discounted Rates","Manhattan","Battery Park City","Entire home/apt",276
"Cozy Studio close to trains to NYC","Queens","Long Island City","Entire home/apt",100
"Minimalistic en suite in Bushwick","Brooklyn","Bushwick","Private room",90
"Cozy 1BR with a cat","Brooklyn","Crown Heights","Entire home/apt",95
"Big cozy private room next to the Park","Brooklyn","Flatbush","Private room",60
"Amazing  Apt in the heart of the Soho","Manhattan","Nolita","Entire home/apt",250
"Beautiful Huge Loft in Williamsburg, New York","Brooklyn","Williamsburg","Entire home/apt",259
"Studio in financial district with rooftop pool","Manhattan","Financial District","Entire home/apt",155
"Penthouse + private terrace by Prospect Park -#145","Brooklyn","Prospect-Lefferts Gardens","Private room",35
"Combine your vocation with leisure and comfort","Brooklyn","Gravesend","Private room",26
"Brooklyn Room on Prospect Park","Brooklyn","Prospect-Lefferts Gardens","Private room",57
"The Manhattan Club executive suite","Manhattan","Midtown","Entire home/apt",700
"Quiet bedroom in a zero-waste household.","Queens","Ridgewood","Private room",43
"2 bdr aprt room in heart of manhattan, midtown","Manhattan","Kips Bay","Entire home/apt",277
"The Paris - Duplex Penthouse with Roof Deck","Manhattan","SoHo","Entire home/apt",800
